testNo ,repeatNo, agentNo, agentID, agentType, agentTypeNo, x, y, z, yaw, vel_x, vel_y, vel_z, speed, time, sim_time, fps
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -5.143, -103.155, 0.129, -1.550, 0.362, -4.906, -0.003, 4.919, 3.500, 629.277, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 22.599, -134.383, 0.425, -3.117, -4.802, -0.036, -0.294, 4.812, 3.500, 629.277, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -5.118, -103.640, 0.129, -1.541, 0.263, -4.799, 0.000, 4.807, 3.600, 629.377, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 22.120, -134.387, 0.394, -3.122, -4.763, -0.019, -0.289, 4.772, 3.600, 629.377, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -5.094, -104.117, 0.129, -1.536, 0.248, -4.750, 0.001, 4.757, 3.700, 629.477, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 21.642, -134.390, 0.364, -3.126, -4.772, -0.018, -0.294, 4.781, 3.700, 629.477, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -5.076, -104.591, 0.129, -1.536, 0.159, -4.747, 0.000, 4.750, 3.800, 629.577, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 21.162, -134.396, 0.335, -3.126, -4.798, -0.143, -0.275, 4.808, 3.800, 629.577, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -5.061, -105.067, 0.129, -1.536, 0.148, -4.761, 0.000, 4.763, 3.900, 629.677, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 20.680, -134.413, 0.307, -3.119, -4.831, -0.213, -0.256, 4.842, 3.900, 629.677, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -5.039, -105.542, 0.129, -1.532, 0.262, -4.746, 0.000, 4.753, 4.000, 629.777, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 20.193, -134.432, 0.282, -3.115, -4.862, -0.167, -0.194, 4.869, 4.000, 629.777, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -5.013, -106.016, 0.129, -1.528, 0.277, -4.737, 0.000, 4.746, 4.100, 629.877, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 19.704, -134.447, 0.263, -3.114, -4.893, -0.133, -0.182, 4.898, 4.100, 629.877, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -4.992, -106.490, 0.129, -1.528, 0.183, -4.733, 0.000, 4.737, 4.200, 629.977, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 19.212, -134.459, 0.243, -3.115, -4.924, -0.095, -0.187, 4.928, 4.200, 629.977, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -4.974, -106.963, 0.129, -1.530, 0.170, -4.726, 0.000, 4.729, 4.300, 630.077, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 18.717, -134.468, 0.223, -3.118, -4.954, -0.078, -0.193, 4.959, 4.300, 630.077, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -4.958, -107.435, 0.129, -1.532, 0.121, -4.750, 0.000, 4.751, 4.400, 630.177, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 18.219, -134.476, 0.203, -3.120, -4.985, -0.055, -0.197, 4.989, 4.400, 630.177, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -4.946, -107.933, 0.129, -1.536, 0.111, -5.139, 0.004, 5.140, 4.500, 630.277, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 17.712, -134.481, 0.182, -3.124, -5.208, -0.042, -0.205, 5.212, 4.500, 630.277, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -4.930, -108.460, 0.129, -1.537, 0.219, -5.352, -0.000, 5.357, 4.600, 630.377, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 17.173, -134.486, 0.165, -3.127, -5.458, -0.041, -0.085, 5.459, 4.600, 630.377, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -4.906, -109.001, 0.129, -1.533, 0.275, -5.439, -0.001, 5.446, 4.700, 630.477, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 16.620, -134.491, 0.159, -3.129, -5.547, -0.026, -0.034, 5.547, 4.700, 630.477, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -4.881, -109.546, 0.129, -1.531, 0.217, -5.446, -0.000, 5.450, 4.800, 630.577, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 16.063, -134.504, 0.153, -3.124, -5.531, -0.190, -0.054, 5.535, 4.800, 630.577, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -4.861, -110.089, 0.129, -1.532, 0.180, -5.409, -0.000, 5.412, 4.900, 630.677, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 15.511, -134.523, 0.145, -3.118, -5.475, -0.221, -0.069, 5.480, 4.900, 630.677, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -4.846, -110.627, 0.129, -1.536, 0.117, -5.357, -0.000, 5.358, 5.000, 630.777, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 14.965, -134.539, 0.136, -3.116, -5.409, -0.155, -0.073, 5.411, 5.000, 630.777, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -4.834, -111.160, 0.129, -1.540, 0.102, -5.307, -0.000, 5.308, 5.100, 630.877, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 14.426, -134.553, 0.127, -3.117, -5.346, -0.111, -0.074, 5.347, 5.100, 630.877, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -4.815, -111.687, 0.129, -1.537, 0.240, -5.259, -0.000, 5.265, 5.200, 630.977, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 13.894, -134.563, 0.123, -3.119, -5.289, -0.093, 0.002, 5.290, 5.200, 630.977, 0.000
