testNo, repeatNo, agentNo, agentID, agentType, agentTypeNo, x, y, z, yaw, vel_x, vel_y, vel_z, speed, time, sim_time, fps
0, 0, 2, 1680, walker.pedestrian.0002, 1, -23.034, -68.739, 0.945, -1.688, -0.177, -1.490, 0.000, 1.500, 4.200, 982.304, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -19.686, -13.923, 0.129, -0.617, 3.902, -3.119, -0.000, 4.995, 4.300, 982.404, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -23.052, -68.888, 0.944, -1.688, -0.176, -1.490, 0.000, 1.500, 4.300, 982.404, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -19.282, -14.244, 0.129, -0.634, 4.091, -3.333, 0.001, 5.277, 4.400, 982.504, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -23.069, -69.037, 0.944, -1.688, -0.175, -1.490, 0.000, 1.500, 4.400, 982.504, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -18.863, -14.579, 0.129, -0.647, 4.192, -3.427, -0.001, 5.415, 4.500, 982.604, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -23.087, -69.186, 0.944, -1.687, -0.175, -1.490, 0.000, 1.500, 4.500, 982.604, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -18.442, -14.923, 0.129, -0.660, 4.190, -3.486, -0.000, 5.450, 4.600, 982.704, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -23.104, -69.335, 0.943, -1.687, -0.174, -1.490, 0.000, 1.500, 4.600, 982.704, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -18.023, -15.270, 0.129, -0.670, 4.143, -3.505, -0.000, 5.427, 4.700, 982.804, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -23.121, -69.484, 0.943, -1.686, -0.173, -1.490, 0.000, 1.500, 4.700, 982.804, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -17.609, -15.617, 0.129, -0.680, 4.089, -3.495, -0.000, 5.379, 4.800, 982.904, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -23.138, -69.633, 0.943, -1.686, -0.173, -1.490, 0.000, 1.500, 4.800, 982.904, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -17.205, -15.966, 0.129, -0.691, 3.929, -3.583, -0.000, 5.318, 4.900, 983.004, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -23.155, -69.782, 0.942, -1.686, -0.172, -1.490, 0.000, 1.500, 4.900, 983.004, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -16.816, -16.325, 0.129, -0.709, 3.808, -3.648, -0.000, 5.274, 5.000, 983.104, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -23.173, -69.931, 0.942, -1.686, -0.172, -1.490, 0.000, 1.500, 5.000, 983.104, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -16.440, -16.691, 0.129, -0.731, 3.658, -3.749, -0.000, 5.238, 5.100, 983.204, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -23.192, -70.080, 0.942, -1.694, -0.178, -1.489, 0.000, 1.500, 5.100, 983.204, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -16.073, -17.063, 0.129, -0.750, 3.614, -3.770, -0.000, 5.223, 5.200, 983.304, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -23.214, -70.229, 0.941, -1.704, -0.191, -1.488, 0.000, 1.500, 5.200, 983.304, 0.000
